client_id - rec_list
"['03dad6a6a2c85118', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '토카 시몬 EDP 50ML', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬']"
"['dcc9618782cba07c', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '딥 씨 워터폴 리치크림', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '19′ 미네랄 수분 피팅 베이스', '페이스 디자이닝 브론저', '테크닉 핏 샤프 컨투어 브러쉬', '[리필] 레이어링 커버 쿠션 + 컨실링 베이스', '헤븐스 듀 올 오버 글리머']"
"['e09ee6eef4106f99', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬']"
"['6d1bc34caa1bb4db', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '오 마이 래쉬 마스카라 3EA', '헤븐스 듀 올 오버 글리머', '화윤생 한방 거품염색', '[피카소시그니처] FB13 파운데이션', '605 블러셔']"
"['e0bc2717742b3a8c', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '토카 시몬 EDP 50ML', '테크닉 핏 샤프 컨투어 브러쉬', '스킨클리닉 마스크 마데카소사이드 [메이드바이유]']"
"['e77f21222a3d6ddc', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '딥 씨 워터폴 리치크림', '포인트 클리닉 남성청결제', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '오 마이 래쉬 마스카라 3EA', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '샤인 시크 립라커', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치']"
"['6ecb76a4362149f8', '딥 씨 워터폴 리치크림', '포인트 클리닉 남성청결제', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '210 아이섀도우', '오 마이 래쉬 마스카라 3EA', '헤븐스 듀 올 오버 글리머', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[피카소시그니처] FB13 파운데이션', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)']"
"['ea689b50babca100', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '스킨클리닉 마스크 마데카소사이드 [메이드바이유]', '크리미 틴트 컬러밤 인텐스 미니 3종 스페셜 세트']"
"['6fdbe0aa6271d45f', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스', '패브릭 마스크 수분웨어 코튼겔 [1매]', '스킨클리닉 마스크 마데카소사이드 [메이드바이유]', '크리미 틴트 컬러밤 인텐스 미니 3종 스페셜 세트', '프라고나르 보 고쓰 오데토일렛 100ML', 'PONY14 MINI 블러셔']"
"['f0001ca32e9fd6d1', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '19′ 미네랄 수분 피팅 베이스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '테크닉 핏 샤프 컨투어 브러쉬', '[대용량] 셀 에센스', '순정 약산성 5.5토너 2+1', '패브릭 마스크 수분웨어 코튼겔 [1매]', '실키 퍼프 화장솜']"
"['6f9fa904ccb9064b', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬', '노웨어 젠틀 매트 #레드 밋츠 카페']"
"['71db5c6cbfad3fd3', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '포인트 클리닉 남성청결제', '오 마이 래쉬 마스카라 3EA', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '블랙 컨실러 스프레드 커버', '화윤생 한방 거품염색', '[피카소시그니처] FB13 파운데이션', '비타민 E 마스크 미니어쳐', '알로에 리바이탈 수딩젤 300mL']"
"['f0c829c1e0e802d1', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '헤븐스 듀 올 오버 글리머', '화윤생 한방 거품염색', '[피카소시그니처] FB13 파운데이션', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '알로에 리바이탈 수딩젤 300mL', '[2입] 세라마이드아토 큐어밤']"
"['f5f20909cfaf0b63', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '노세범모이스처파우더5g', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스', '자음생크림 오리지널', '패브릭 마스크 수분웨어 코튼겔 [1매]', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운']"
"['f8b6fb347dc1fd56', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '헤븐스 듀 올 오버 글리머', '[피카소시그니처] FB13 파운데이션']"
"['f7046b0b63b03adb', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['f9c4412e08ddcfdf', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '순정 약산성 5.5토너 2+1', '[보은/상품권] 베이직 2종 세트_모이스춰', '토카 시몬 EDP 50ML', '테크닉 핏 샤프 컨투어 브러쉬', '패브릭 마스크 수분웨어 코튼겔 [1매]']"
"['fbb325713cef112a', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '[피카소시그니처] FB13 파운데이션', '[5월이벤트2] 클렌징 티슈(10매*6개입)', '알로에 리바이탈 수딩젤 300mL']"
"['fd833cc8089d223a', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[피카소시그니처] FB13 파운데이션', '[5월이벤트2] 클렌징 티슈(10매*6개입)', '딥 씨 워터폴 리치크림', '[2입] 세라마이드아토 큐어밤', '오 마이 래쉬 마스카라 3EA', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '컨투어링&스트로빙 #레디 4 셀피 팔레트']"
"['ff6204c3a1b3a766', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '프레쉴리 쥬스드 비타민E 마스크', '라팜므 프라다 로 EDT 100ML', '룰라러브 천연해면/ 세안용', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '[피카소시그니처] FB13 파운데이션', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '224 아이섀도우', '화이트 프로그램 래디언스 크림']"
